Nome,Categoria,Medida,Cor,Quantidade,ControlaEstoque,GeraAlerta,EstoqueMinimo,Imagem
Saquinho,Saquinhos,45x20x6,,8,SIM,NÃO,0,
Saquinho,Saquinhos,30x60x6,,15,SIM,NÃO,0,
Saquinho,Saquinhos,20x35x6,,1,SIM,NÃO,0,
Saquinho,Saquinhos,20x25x6,,2,SIM,NÃO,0,
Saquinho,Saquinhos,30x70x6,,19,SIM,NÃO,0,
Saquinho,Saquinhos,30x35x6,,8,SIM,NÃO,0,
Saquinho,Saquinhos,35x45x6,,6,SIM,NÃO,0,
Saquinho,Saquinhos,12x17,,3,SIM,NÃO,0,
Estilete,Diversos,,,,10,NÃO,NÃO,0,
Lâmpada,Diversos,,,,2,NÃO,NÃO,0,
Luva,Diversos,,,,2 cx,NÃO,NÃO,0,
Arame,Diversos,,,,6,NÃO,NÃO,0,
Tek Bond Spray,Diversos,,,,3,NÃO,NÃO,0,
Café,Diversos,,,,1,NÃO,NÃO,0,
Bolacha,Diversos,,,,4,NÃO,NÃO,0,
Sardinha,Diversos,,,,2,NÃO,NÃO,0,
Massa de bolo,Diversos,,,,2,NÃO,NÃO,0,
